num_docs,training_accuracy,cross_entropy
100,0.47,2.57219596
200,0.53,2.730800139
300,0.536666667,2.653692405
400,0.52,2.424177823
500,0.534,2.389426896
600,0.54,2.375371032
700,0.555714286,2.372659036
800,0.55875,2.294259362
900,0.576666667,2.222470155
1000,0.565,2.141860073
1100,0.556363636,2.112790192
1200,0.5525,2.087157453
1300,0.552307692,2.02832515
1400,0.552142857,1.958296913
1500,0.553333333,1.918186821
1600,0.549375,1.875310514
1700,0.548235294,1.82934916
1800,0.551111111,1.782647837
1900,0.547894737,1.743787741
2000,0.5445,1.703651034
2100,0.545714286,1.668586234
2200,0.55,1.641031083
2300,0.545652174,1.609452013
2400,0.547083333,1.571722305
2500,0.5456,1.546989132
2600,0.548461538,1.52041714
2700,0.549259259,1.498121063
2800,0.548214286,1.477566089
2900,0.548965517,1.453366352
3000,0.548,1.434082992
3100,0.548709677,1.408029234
3200,0.55,1.386801729
3300,0.550909091,1.366539097
3400,0.551764706,1.350683973
3500,0.550857143,1.33527278
3600,0.551111111,1.31923671
3700,0.553513514,1.300717689
3800,0.551578947,1.288329864
3900,0.552564103,1.274457147
4000,0.5535,1.258755262
4100,0.555365854,1.24417814
4200,0.554761905,1.232769125
4300,0.554651163,1.221607525
4400,0.5525,1.211261639
4500,0.552222222,1.198884348
4600,0.552391304,1.189157749
4700,0.552765957,1.178678838
4800,0.551458333,1.169817219
4900,0.551632653,1.160519367
5000,0.552,1.151257239
5100,0.550980392,1.142948642
5200,0.551538462,1.13501967
5300,0.551509434,1.127547094
5400,0.550925926,1.119709376
5500,0.550727273,1.112014115
5600,0.549642857,1.104820473
5700,0.549824561,1.09799282
5800,0.55137931,1.090639166
5900,0.550169492,1.083422311
6000,0.549833333,1.076738467
6100,0.549016393,1.070443976
6200,0.548387097,1.06486561
6300,0.548571429,1.059031144
6400,0.54703125,1.05407724
6500,0.546923077,1.048326577
6600,0.54530303,1.043010287
6700,0.544776119,1.037347158
6800,0.545147059,1.031826295
